HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt
PRKCZ,127,PRKCZ,184,PRKCZ,202,PRKCZ,224,PRKCZ,268
PRKCZ-DT,0,PRKCZ-DT,0,PRKCZ-DT,0,PRKCZ-DT,0,PRKCZ-DT,0
PRKCZ-AS1,5,PRKCZ-AS1,1,PRKCZ-AS1,0,PRKCZ-AS1,0,PRKCZ-AS1,2
FAAP20,55,FAAP20,40,FAAP20,55,FAAP20,56,FAAP20,51
LOC112268219,5,LOC112268219,6,LOC112268219,0,LOC112268219,1,LOC112268219,8
LOC105378593,0,LOC105378593,0,LOC105378593,0,LOC105378593,0,LOC105378593,0
LOC124903823,0,LOC124903823,0,LOC124903823,0,LOC124903823,0,LOC124903823,0
SKI,284,SKI,232,SKI,235,SKI,366,SKI,290
LOC124903824,2,LOC124903824,0,LOC124903824,0,LOC124903824,0,LOC124903824,0
MORN1,9,MORN1,14,MORN1,5,MORN1,26,MORN1,8
LOC100129534,0,LOC100129534,1,LOC100129534,0,LOC100129534,1,LOC100129534,0
RER1,749,RER1,1051,RER1,706,RER1,937,RER1,1231
PEX10,52,PEX10,89,PEX10,42,PEX10,78,PEX10,65
PLCH2,0,PLCH2,1,PLCH2,1,PLCH2,0,PLCH2,0
PANK4,67,PANK4,138,PANK4,105,PANK4,110,PANK4,92
HES5,0,HES5,0,HES5,0,HES5,0,HES5,0
TNFRSF14-AS1,0,TNFRSF14-AS1,0,TNFRSF14-AS1,0,TNFRSF14-AS1,0,TNFRSF14-AS1,0
TNFRSF14,0,TNFRSF14,0,TNFRSF14,0,TNFRSF14,1,TNFRSF14,0
LOC100996583,0,LOC100996583,0,LOC100996583,0,LOC100996583,0,LOC100996583,0
PRXL2B,109,PRXL2B,150,PRXL2B,121,PRXL2B,145,PRXL2B,183
MMEL1,8,MMEL1,2,MMEL1,2,MMEL1,4,MMEL1,6
MMEL1-AS1,0,MMEL1-AS1,0,MMEL1-AS1,0,MMEL1-AS1,0,MMEL1-AS1,0
TTC34,0,TTC34,0,TTC34,0,TTC34,0,TTC34,3
LOC105378602,0,LOC105378602,0,LOC105378602,0,LOC105378602,0,LOC105378602,0
LOC105378601,0,LOC105378601,0,LOC105378601,0,LOC105378601,0,LOC105378601,0
LOC112268220,0,LOC112268220,0,LOC112268220,0,LOC112268220,0,LOC112268220,0
LOC107985732,0,LOC107985732,0,LOC107985732,0,LOC107985732,0,LOC107985732,0
LOC105378600,0,LOC105378600,0,LOC105378600,0,LOC105378600,0,LOC105378600,0
LOC105378598,0,LOC105378598,0,LOC105378598,0,LOC105378598,0,LOC105378598,0
LOC107984904,0,LOC107984904,0,LOC107984904,0,LOC107984904,0,LOC107984904,0
LOC105378599,0,LOC105378599,0,LOC105378599,0,LOC105378599,0,LOC105378599,0
LOC124903825,0,LOC124903825,0,LOC124903825,0,LOC124903825,0,LOC124903825,0
LOC124903826,0,LOC124903826,0,LOC124903826,0,LOC124903826,0,LOC124903826,0
ACTRT2,0,ACTRT2,0,ACTRT2,0,ACTRT2,0,ACTRT2,0
LOC124903827,0,LOC124903827,0,LOC124903827,0,LOC124903827,0,LOC124903827,0
PRDM16-DT,0,PRDM16-DT,0,PRDM16-DT,0,PRDM16-DT,0,PRDM16-DT,0
PRDM16,0,PRDM16,0,PRDM16,3,PRDM16,0,PRDM16,3
MIR4251,0,MIR4251,0,MIR4251,0,MIR4251,0,MIR4251,0
LOC105378606,0,LOC105378606,0,LOC105378606,0,LOC105378606,0,LOC105378606,0
LOC107984909,0,LOC107984909,0,LOC107984909,0,LOC107984909,0,LOC107984909,0
LOC105378605,0,LOC105378605,0,LOC105378605,0,LOC105378605,0,LOC105378605,0
LOC124903828,0,LOC124903828,0,LOC124903828,0,LOC124903828,0,LOC124903828,0
LOC105378604,0,LOC105378604,0,LOC105378604,0,LOC105378604,0,LOC105378604,0
